,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19
0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,0
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0
3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0
4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0
5,0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,4,0
6,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,0
7,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,0
8,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,0
9,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,0
10,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,0
11,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,0
12,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,0
13,0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,4,0
14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0
15,0,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,4,0
16,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0
17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0
18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
